ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
289,8/29/2020,Unincorporated - Rancho Dominguez,71,2668,2618,2,75,35,2661
290,8/29/2020,Unincorporated - Roosevelt,8,859,819,0,0,0,931
291,8/29/2020,Unincorporated - Rosewood,23,1788,2080,0,0,0,1286
292,8/29/2020,Unincorporated - Rosewood/East Gardena,14,1174,1074,1,84,40,1193
293,8/29/2020,Unincorporated - Rosewood/West Rancho Dominguez,88,2618,2672,0,0,0,3361
294,8/29/2020,Unincorporated - Rowland Heights,594,1164,1169,12,24,17,51022
295,8/29/2020,Unincorporated - San Jose Hills,644,3185,3143,9,45,46,20221
296,8/29/2020,Unincorporated - San Pasqual,9,442,468,0,0,0,2035
297,8/29/2020,Unincorporated - Sand Canyon,6,1948,5185,0,0,0,308
298,8/29/2020,Unincorporated - Santa Catalina Island,23,8614,10412,0,0,0,267
299,8/29/2020,Unincorporated - Santa Monica Mountains,101,542,630,1,5,2,18621
300,8/29/2020,Unincorporated - Saugus,26,16774,16193,0,0,0,155
301,8/29/2020,Unincorporated - Saugus/Canyon Country,1,281,538,0,0,0,356
302,8/29/2020,Unincorporated - South Antelope Valley,2,440,382,0,0,0,455
303,8/29/2020,Unincorporated - South El Monte,76,4234,4057,0,0,0,1795
304,8/29/2020,Unincorporated - South San Gabriel,167,1887,1809,5,57,40,8848
305,8/29/2020,Unincorporated - South Whittier,1562,2638,2562,28,47,51,59222
306,8/29/2020,Unincorporated - Southeast Antelope Valley,13,1665,1845,0,0,0,781
307,8/29/2020,Unincorporated - Stevenson Ranch,152,725,722,2,10,12,20966
308,8/29/2020,Unincorporated - Sun Village,148,2452,2567,1,17,11,6036
309,8/29/2020,Unincorporated - Sunrise Village,49,3781,4125,0,0,0,1296
310,8/29/2020,Unincorporated - Twin Lakes/Oat Mountain,11,663,671,1,60,78,1658
311,8/29/2020,Unincorporated - Val Verde,59,1783,1663,1,30,50,3309
312,8/29/2020,Unincorporated - Valencia,41,1335,2254,1,33,258,3072
313,8/29/2020,Unincorporated - Valinda,695,2974,2912,7,30,32,23371
314,8/29/2020,Unincorporated - View Park/Windsor Hills,137,1177,1232,3,26,10,11635
315,8/29/2020,Unincorporated - Walnut Park,645,3996,3954,11,68,79,16143
316,8/29/2020,Unincorporated - West Antelope Valley,5,331,322,0,0,0,1511
317,8/29/2020,Unincorporated - West Carson,390,1766,1563,33,149,89,22086
318,8/29/2020,Unincorporated - West LA,42,4412,4285,2,210,67,952
319,8/29/2020,Unincorporated - West Puente Valley,349,3549,3483,2,20,23,9835
320,8/29/2020,Unincorporated - West Rancho Dominguez,20,1472,1397,3,221,184,1359
321,8/29/2020,Unincorporated - West Whittier/Los Nietos,888,3298,3224,12,45,44,26925
322,8/29/2020,Unincorporated - Westfield/Academy Hills,7,538,746,0,0,0,1300
323,8/29/2020,Unincorporated - Westhills,9,1073,1596,0,0,0,839
324,8/29/2020,Unincorporated - White Fence Farms,42,1140,1226,0,0,0,3683
325,8/29/2020,Unincorporated - Whittier,58,1533,1471,1,26,11,3784
326,8/29/2020,Unincorporated - Willowbrook,1339,3835,3885,18,52,60,34913
327,8/29/2020,Unincorporated - Wiseburn,109,1809,1703,1,17,21,6027
