id,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
140,8/16/2020,Los Angeles - Hyde Park,687,2407,2362,14,49,41,28541
141,8/16/2020,Los Angeles - Jefferson Park,226,2799,2767,0,0,0,8073
142,8/16/2020,Los Angeles - Koreatown,987,1909,1846,25,48,47,51693
143,8/16/2020,Los Angeles - Lafayette Square,74,1623,1591,3,66,64,4559
144,8/16/2020,Los Angeles - Lake Balboa,812,1924,1913,14,33,35,42206
145,8/16/2020,Los Angeles - Lakeview Terrace,469,3571,3556,21,160,184,13133
146,8/16/2020,Los Angeles - Leimert Park,256,1680,1677,4,26,17,15235
147,8/16/2020,Los Angeles - Lincoln Heights,917,2813,2751,45,138,117,32597
148,8/16/2020,Los Angeles - Little Armenia,353,4399,3785,51,636,517,8025
149,8/16/2020,Los Angeles - Little Bangladesh,415,1464,1457,5,18,19,28343
150,8/16/2020,Los Angeles - Little Tokyo,55,1756,1997,2,64,21,3133
151,8/16/2020,Los Angeles - Longwood,106,2463,2393,0,0,0,4304
152,8/16/2020,Los Angeles - Los Feliz,167,773,809,2,9,6,21608
153,8/16/2020,Los Angeles - Manchester Square,155,1816,1821,1,12,9,8536
154,8/16/2020,Los Angeles - Mandeville Canyon,18,576,866,0,0,0,3124
155,8/16/2020,Los Angeles - Mar Vista,270,636,644,5,12,9,42471
156,8/16/2020,Los Angeles - Marina Peninsula,30,688,733,0,0,0,4360
157,8/16/2020,Los Angeles - Melrose,1616,2080,2043,58,75,76,77696
158,8/16/2020,Los Angeles - Mid-city,243,1617,1569,21,140,127,15030
159,8/16/2020,Los Angeles - Miracle Mile,140,778,718,5,28,25,17985
160,8/16/2020,Los Angeles - Mission Hills,615,2549,2472,19,79,73,24124
161,8/16/2020,Los Angeles - Mt. Washington,459,1901,1863,12,50,46,24145
162,8/16/2020,Los Angeles - North Hills,1492,2423,2383,38,62,71,61575
163,8/16/2020,Los Angeles - North Hollywood,2942,1943,1856,50,33,37,151421
164,8/16/2020,Los Angeles - Northridge,1157,1658,1623,40,57,47,69797
165,8/16/2020,Los Angeles - Pacific Palisades,107,503,582,4,19,9,21291
166,8/16/2020,Los Angeles - Pacoima,2799,3636,3637,37,48,64,76979
167,8/16/2020,Los Angeles - Palisades Highlands,20,520,588,0,0,0,3846
168,8/16/2020,Los Angeles - Palms,472,1076,1200,28,64,84,43877
169,8/16/2020,Los Angeles - Panorama City,2335,3103,3126,82,109,145,75250
170,8/16/2020,Los Angeles - Park La Brea,87,641,539,1,7,8,13580
171,8/16/2020,Los Angeles - Pico-Union,1578,3771,3794,83,198,233,41842
172,8/16/2020,Los Angeles - Playa Del Rey,24,751,988,0,0,0,3196
173,8/16/2020,Los Angeles - Playa Vista,113,1032,1003,0,0,0,10947
174,8/16/2020,Los Angeles - Porter Ranch,296,832,885,6,17,10,35588
175,8/16/2020,Los Angeles - Rancho Park,68,1037,1220,1,15,11,6560
176,8/16/2020,Los Angeles - Regent Square,25,899,865,0,0,0,2780
