ID,date,geo_merge,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population
155,5/31/2020,Los Angeles - Mid-city,57,57,335,3,20,18,997,6633,6196,15030
156,5/31/2020,Los Angeles - Miracle Mile,41,41,187,4,22,20,1304,7250,6482,17985
157,5/31/2020,Los Angeles - Mission Hills,149,149,589,6,25,21,1391,5766,5629,24124
158,5/31/2020,Los Angeles - Mt. Washington,105,105,413,3,12,11,1255,5198,5048,24145
159,5/31/2020,Los Angeles - North Hills,446,446,713,15,24,29,3310,5376,5307,61575
160,5/31/2020,Los Angeles - North Hollywood,686,686,427,22,15,16,7609,5025,4715,151421
161,5/31/2020,Los Angeles - Northridge,329,329,434,29,42,34,4632,6636,6286,69797
162,5/31/2020,Los Angeles - Pacific Palisades,57,57,297,3,14,6,1371,6439,6565,21291
163,5/31/2020,Los Angeles - Pacoima,704,704,932,14,18,22,4860,6313,6431,76979
164,5/31/2020,Los Angeles - Palisades Highlands,3,3,75,0,0,0,174,4524,3998,3846
165,5/31/2020,Los Angeles - Palms,188,188,482,19,43,56,2896,6600,6414,43877
166,5/31/2020,Los Angeles - Panorama City,749,749,1023,37,49,66,4667,6202,6208,75250
167,5/31/2020,Los Angeles - Park La Brea,20,20,132,1,7,8,743,5471,5131,13580
168,5/31/2020,Los Angeles - Pico-Union,538,538,1362,57,136,162,2149,5136,5104,41842
169,5/31/2020,Los Angeles - Playa Del Rey,3,3,77,0,0,0,165,5163,4930,3196
170,5/31/2020,Los Angeles - Playa Vista,24,24,216,0,0,0,784,7162,7140,10947
171,5/31/2020,Los Angeles - Porter Ranch,90,90,265,6,17,10,1963,5516,5096,35588
172,5/31/2020,Los Angeles - Rancho Park,18,18,302,0,0,0,497,7576,7883,6560
173,5/31/2020,Los Angeles - Regent Square,4,4,134,0,0,0,135,4856,4434,2780
174,5/31/2020,Los Angeles - Reseda,558,558,691,25,33,29,5920,7727,7261,76617
175,5/31/2020,Los Angeles - Reseda Ranch,31,31,597,0,0,0,291,6277,6021,4636
176,5/31/2020,Los Angeles - Reynier Village,10,10,240,0,0,0,228,5393,5462,4228
177,5/31/2020,Los Angeles - San Pedro,901,901,1146,15,19,17,3573,4579,4431,78038
178,5/31/2020,Los Angeles - Shadow Hills,10,10,271,0,0,0,224,5043,4474,4442
179,5/31/2020,Los Angeles - Sherman Oaks,227,227,259,9,10,8,6002,6879,6642,87254
180,5/31/2020,Los Angeles - Silverlake,181,181,385,10,23,20,3425,7769,7410,44083
181,5/31/2020,Los Angeles - South Carthay,35,35,372,1,9,6,716,6758,7054,10595
182,5/31/2020,Los Angeles - South Park,381,381,1034,7,18,27,1717,4523,4801,37961
183,5/31/2020,Los Angeles - St Elmo Village,45,45,1162,5,109,178,464,10122,10877,4584
184,5/31/2020,Los Angeles - Studio City,78,78,340,5,22,20,1705,7598,7138,22440
185,5/31/2020,Los Angeles - Sun Valley,301,301,547,7,13,14,2566,4889,4760,52483
186,5/31/2020,Los Angeles - Sunland,148,148,602,14,69,47,1290,6321,5757,20408
187,5/31/2020,Los Angeles - Sycamore Square,1,1,79,0,0,0,71,10974,9970,647
188,5/31/2020,Los Angeles - Sylmar,797,797,981,42,51,65,5468,6636,6594,82398
189,5/31/2020,Los Angeles - Tarzana,162,162,474,9,29,20,2354,7624,7006,30876
190,5/31/2020,Los Angeles - Temple-Beaudry,321,321,775,12,30,35,2235,5661,5244,39482
191,5/31/2020,Los Angeles - Thai Town,30,30,244,0,0,0,525,5352,4883,9809
192,5/31/2020,Los Angeles - Toluca Lake,19,19,200,0,0,0,580,6664,6736,8704
193,5/31/2020,Los Angeles - Toluca Terrace,6,6,562,0,0,0,65,4977,4680,1306
194,5/31/2020,Los Angeles - Toluca Woods,3,3,108,0,0,0,136,7320,7529,1858
195,5/31/2020,Los Angeles - Tujunga,122,122,399,11,40,33,1497,5383,4936,27810
196,5/31/2020,Los Angeles - University Hills,11,11,298,1,29,19,158,4608,4653,3429
197,5/31/2020,Los Angeles - University Park,192,192,1005,1,4,3,942,3431,4170,27456
198,5/31/2020,Los Angeles - Valley Glen,127,127,399,4,13,13,1439,4794,4564,30016
199,5/31/2020,Los Angeles - Valley Village,207,207,754,11,44,35,1839,7439,6983,24720
200,5/31/2020,Los Angeles - Van Nuys,690,690,750,28,30,41,4951,5313,5278,93194
201,5/31/2020,Los Angeles - Venice,66,66,207,2,6,6,2211,6525,6533,33885
202,5/31/2020,Los Angeles - Vermont Knolls,145,145,846,2,12,15,943,5483,5537,17200
203,5/31/2020,Los Angeles - Vermont Square,84,84,1066,2,26,24,454,5929,5824,7657
204,5/31/2020,Los Angeles - Vermont Vista,321,321,820,5,12,19,1950,4735,4997,41186
205,5/31/2020,Los Angeles - Vernon Central,603,603,1201,11,21,30,2513,4833,4996,51998
206,5/31/2020,Los Angeles - Victoria Park,58,58,667,2,24,20,446,5310,5167,8399
207,5/31/2020,Los Angeles - View Heights,10,10,251,2,54,42,275,7444,6861,3694
